bookID,title,authors,average_rating,publication_date,language_code,primary_author
19118,Father to Son  (The Destroyer  #129),Warren Murphy/Richard Sapir/James Mullaney,4.11,2002-10-01,eng,Warren Murphy
19307,Pippi in the South Seas,Astrid Lindgren/Gerry Bothmer,4.11,1959-09-18,en-US,Astrid Lindgren
19631,Birds of America,Lorrie Moore,4.11,1999-09-23,eng,Lorrie Moore
19844,25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell/Les Parrott III,4.11,2005-06-05,eng,John C. Maxwell
20668,The Trouble with Testosterone and Other Essays on the Biology of the Human Predicament,Robert M. Sapolsky,4.11,1998-04-24,eng,Robert M. Sapolsky
21016,The Secret City (Pyrates  #1),Chris Archer,4.11,2003-02-01,eng,Chris Archer
22278,Memoirs of a Geisha,Arthur Golden,4.11,2000-10-05,eng,Arthur Golden
22434,The Fabric of the Cosmos: Space  Time and the Texture of Reality,Brian Greene,4.11,2005-02-24,en-US,Brian Greene
22438,The Fabric of the Cosmos: Space  Time and the Texture of Reality,Brian Greene,4.11,2004-02-24,eng,Brian Greene
22554,Gunslinger,Ed Dorn,4.11,1989-08-22,eng,Ed Dorn
22690,The Other Woman (Dundee  Idaho  #7),Brenda Novak,4.11,2006-05-09,eng,Brenda Novak
22831,The Return of Lum  Volume 1: Urusei Yatsura (Urusei Yatsura  #2),Rumiko Takahashi,4.11,1995-06-05,eng,Rumiko Takahashi
22835,Ranma 1/2  Vol. 12 (Ranma ½ (US 2nd)  #12),Rumiko Takahashi,4.11,2004-08-17,eng,Rumiko Takahashi
23233,Ten Things I Hate about You,David Levithan,4.11,1999-06-01,eng,David Levithan
23525,Norse Mythology: A Guide to the Gods  Heroes  Rituals  and Beliefs,John Lindow,4.11,2002-10-17,eng,John Lindow
24047,The Stowaway Solution (On The Run  #4),Gordon Korman,4.11,2005-10-01,eng,Gordon Korman
24478,i am 8-bit: Art Inspired by Classic Videogames of the '80s,Jon M. Gibson/Chuck Klosterman,4.11,2006-03-30,en-US,Jon M. Gibson
24676,The Ultimate Guide to Anal Sex for Women,Tristan Taormino,4.11,2006-01-27,eng,Tristan Taormino
26055,The MacGregors: Alan & Grant (The MacGregors  #3-4),Nora Roberts,4.11,2006-06-16,eng,Nora Roberts
26471,Last Tales,Isak Dinesen/Karen Blixen,4.11,1991-12-03,eng,Isak Dinesen
26821,The National Geographic Society: 100 Years of Adventure & Discovery,C.D.B. Bryan,4.11,2001-09-01,en-US,C.D.B. Bryan
27516,The Brethren: Inside the Supreme Court,Bob Woodward/Scott Armstrong,4.11,2005-07-01,eng,Bob Woodward
28483,The Seventh Gate (The Death Gate Cycle  #7),Margaret Weis/Tracy Hickman,4.11,1995-12-01,eng,Margaret Weis
28484,Into the Labyrinth (The Death Gate Cycle  #6),Margaret Weis/Tracy Hickman,4.11,1994-07-01,eng,Margaret Weis
28674,Grand Conspiracy (Wars of Light & Shadow #5; Arc 3 - Alliance of Light  #2),Janny Wurts,4.11,2007-11-05,eng,Janny Wurts
28748,The Very Persistent Gappers of Frip,George Saunders/Lane Smith,4.11,2006-03-29,eng,George Saunders
28763,His Master's Voice,Stanisław Lem/Michael Kandel,4.11,1999-11-25,eng,Stanisław Lem
28873,Dragonology (Ologies  #1),Dugald A. Steer/Ernest Drake/Wayne Anderson/Helen Ward/Douglas Carrel,4.11,2003-10-13,eng,Dugald A. Steer
29227,Answers to Questions Teachers Ask about Sensory Integration: Forms  Checklists  and Practical Tools for Teachers and Parents,Stacey Szklut/Carol Stock Kranowitz/Lynn Balzer-Martin,4.11,2002-01-01,eng,Stacey Szklut
29251,Still Here: Embracing Aging  Changing and Dying,Ram Dass/Richard Alpert,4.11,2001-06-01,en-US,Ram Dass
29917,The Rising Tide (World War II: 1939-1945  #1),Jeff Shaara,4.11,2006-11-07,eng,Jeff Shaara
29919,Jeff Shaara's Civil War Battlefields: Discovering America's Hallowed Ground,Jeff Shaara,4.11,2006-04-25,eng,Jeff Shaara
30085,The Power of Infinite Love & Gratitude: An Evolutionary Journey to Awakening Your Spirit,Darren R. Weissman,4.11,2007-02-01,eng,Darren R. Weissman
30189,Cast in Courtlight (Chronicles of Elantra  #2),Michelle Sagara,4.11,2006-07-18,eng,Michelle Sagara
30241,Bloody Bones (Anita Blake  Vampire Hunter #5),Laurell K. Hamilton,4.11,2005-11-01,eng,Laurell K. Hamilton
30518,Tête-à-Tête: Simone de Beauvoir and Jean-Paul Sartre,Hazel Rowley,4.11,2005-10-04,eng,Hazel Rowley
31034,Pink Box: Inside Japan's Sex Clubs,Joan Sinclair/James Farrer,4.11,2006-10-01,eng,Joan Sinclair
31154,The Regime: Evil Advances  (Before They Were Left Behind  #2),Tim LaHaye/Jerry B. Jenkins,4.11,2006-04-01,en-US,Tim LaHaye
31851,An Introduction to Political Philosophy,Jonathan Wolff,4.11,2006-03-01,eng,Jonathan Wolff
32105,Sylvester,Georgette Heyer/Joan Wolf,4.11,2004-04-23,eng,Georgette Heyer
32532,On Becoming a Novelist,John Gardner/Raymond Carver,4.11,1999-10-17,eng,John Gardner
32831,The Mysterious Island (Extraordinary Voyages  #12),Jules Verne/Caleb Carr/Jordan Stump,4.11,2004-04-27,eng,Jules Verne
32844,The Mysterious Island,Jules Verne/Jordan Stump/Caleb Carr,4.11,2002-12-10,eng,Jules Verne
33933,The Panda's Thumb: More Reflections in Natural History,Stephen Jay Gould,4.11,1992-08-17,eng,Stephen Jay Gould
34080,The Waste Land,T.S. Eliot/Michael North,4.11,2000-12-01,eng,T.S. Eliot
34081,The Annotated Waste Land with Eliot's Contemporary Prose,T.S. Eliot/Lawrence Rainey,4.11,2006-08-28,eng,T.S. Eliot
34524,Where's My Cow? (Discworld  #34.5),Terry Pratchett/Melvyn Grant,4.11,2005-10-01,eng,Terry Pratchett
35335,Because I Remember Terror  Father  I Remember You,Sue William Silverman,4.11,1999-09-02,en-US,Sue William Silverman
35431,Star Wars: Clone Wars  Volume 9: Endgame,John Ostrander/Welles Hartley/Jan Duursema,4.11,2006-08-08,eng,John Ostrander
35711,A General Theory of Love,Thomas Lewis/Fari Amini/Richard Lannon,4.11,2001-01-09,eng,Thomas Lewis
35724,The Life You Were Born to Live,Dan Millman,4.11,2000-09-01,eng,Dan Millman
37301,Rules of Prey (Lucas Davenport  #1),John Sandford,4.11,2005-08-02,eng,John Sandford
37328,The Consumer Society: Myths and Structures,Jean Baudrillard/Chris     Turner/George Ritzer,4.11,1998-04-14,eng,Jean Baudrillard
37530,Erotism: Death and Sensuality,Georges Bataille/Mary Dalwood,4.11,2001-01-01,eng,Georges Bataille
37623,Sea of Thunder: Four Commanders and the Last Great Naval Campaign 1941-1945,Evan Thomas,4.11,2006-11-07,eng,Evan Thomas
39980,A Year Down Yonder (A Long Way from Chicago  #2),Richard Peck,4.11,2002-11-21,eng,Richard Peck
40022,"The Hound of the Baskervilles: Another Adventure of Sherlock Holmes  with ""the Adventure of the Speckled Band""",Arthur Conan Doyle/Francis O'Gorman,4.11,2006-01-10,eng,Arthur Conan Doyle
40342,Two for the Dough (Stephanie Plum  #2),Janet Evanovich,4.11,2007-06-29,en-US,Janet Evanovich
40482,Harvest,Tess Gerritsen,4.11,1997-08-01,eng,Tess Gerritsen
40663,Unsung Heroes Of Rock 'n' Roll: The Birth Of Rock In The Wild Years Before Elvis,Nick Tosches,4.11,1999-05-07,eng,Nick Tosches
41567,The Handmaid's Tale,Margaret Atwood,4.11,2006-09-19,eng,Margaret Atwood
41611,Hard Drive: Bill Gates and the Making of the Microsoft Empire,James Wallace/Jim  Erickson,4.11,1993-03-26,en-US,James Wallace
41786,Joel on Software,Joel Spolsky,4.11,2004-10-28,eng,Joel Spolsky
42615,War of the Rats,David L. Robbins,4.11,2000-06-06,eng,David L. Robbins
43365,American Slavery  American Freedom,Edmund S. Morgan,4.11,2003-10-17,eng,Edmund S. Morgan
43933,Tell No One,Harlan Coben,4.11,2009-08-25,eng,Harlan Coben
44269,The American Heritage New History of the Civil War,Bruce Catton/James M. McPherson,4.11,2001-10-01,eng,Bruce Catton
45334,Mandala: Luminous Symbols for Healing (with a New CD of Meditations and Exercises!),Judith Cornell/Joan Borysenko/Miron Borysenko,4.11,2006-09-01,en-US,Judith Cornell
45564,Jonny Reb & Billy Yank,Alexander Hunter,4.11,1998-05-31,eng,Alexander Hunter
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,1994-01-13,eng,Henry Miller
1326,Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,4.1,1973-01-30,en-US,Plato
1489,Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,4.1,2001-12-20,eng,Euripides
1517,Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,4.1,1992-02-01,eng,Aeschylus
1523,Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,4.1,1961-08-30,eng,Aeschylus
1527,The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,4.1,1992-08-01,eng,Aeschylus
1531,Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,4.1,1998-01-01,en-GB,Aeschylus
1533,The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,4.1,2004-06-17,eng,Aeschylus
2249,The Seven Habits of Highly Effective People,Stephen R. Covey,4.1,1990-09-15,eng,Stephen R. Covey
2348,An Introduction to Old Norse,E.V. Gordon/A.R. Taylor,4.1,1981-07-23,eng,E.V. Gordon
2743,The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.1,1997-08-01,eng,Dave Pelzer
2804,Passionate Minds,David Bodanis,4.1,2006-10-10,en-US,David Bodanis
3088,A Room with a View / Howards End,E.M. Forster/Benjamin DeMott,4.1,1986-02-04,eng,E.M. Forster
3562,Emily of New Moon (Emily  #1),L.M. Montgomery,4.1,1983-04-01,eng,L.M. Montgomery
4075,In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4.1,2006-02-01,eng,Eric R. Kandel
4602,Dooby Dooby Moo,Doreen Cronin/Betsy Lewin,4.1,2006-08-08,eng,Doreen Cronin
4696,The Last Jew,Noah Gordon/Mirjana Cvekić/Ljiljana Cvekić,4.1,2000-08-15,eng,Noah Gordon
5069,Battle Angel Alita - Last Order : Angel's Vision  Vol. 08,Yukito Kishiro,4.1,2006-12-12,eng,Yukito Kishiro
5332,Charles Dickens' A Christmas Carol,Jane Parker Resnick/Christian Birmingham,4.1,2000-10-11,eng,Jane Parker Resnick
5490,Children of the Alley,Naguib Mahfouz/Peter Theroux,4.1,1996-10-18,eng,Naguib Mahfouz
6156,Beloved Bride: The Letters of Stonewall Jackson to His Wife,Bill Potter/Stephen Lang,4.1,2003-04-10,eng,Bill Potter
6568,Asylum (Blackstone Chronicles  #6),John Saul,4.1,1997-06-03,eng,John Saul
6667,Boy: Tales of Childhood (Roald Dahl's Autobiography  #1),Roald Dahl/Quentin Blake,4.1,2001-04-05,eng,Roald Dahl
6899,Tuesdays with Morrie,Mitch Albom,4.1,2007-06-29,en-US,Mitch Albom
7027,The Siege (Guardians of Ga'Hoole  #4),Kathryn Lasky,4.1,2004-05-01,eng,Kathryn Lasky
7102,U.S.A.: 42e Parallèle/L'An premier du siècle/La Grosse galette,John Dos Passos,4.1,2002-09-04,eng,John Dos Passos
7201,As the Crow Flies,Jeffrey Archer,4.1,2004-05-16,eng,Jeffrey Archer
8574,Whip Hand (Sid Halley  #2),Dick Francis,4.1,2005-06-07,eng,Dick Francis
8627,Master and Commander (Aubrey/Maturin   #1),Patrick O'Brian,4.1,2003-10-17,en-US,Patrick O'Brian
9439,Fear and Trembling and The Sickness Unto Death,Søren Kierkegaard/Walter Lowrie,4.1,1968-11-21,eng,Søren Kierkegaard
9629,Zen in the Art of Writing: Essays on Creativity,Ray Bradbury,4.1,1993-08-01,en-US,Ray Bradbury
9717,The Unbearable Lightness of Being,Milan Kundera/Michael Henry Heim,4.1,2009-10-27,eng,Milan Kundera
10055,And I Don't Want to Live This Life: A Mother's Story of Her Daughter's Murder,Deborah Spungen,4.1,1996-09-29,eng,Deborah Spungen
10806,Where the Bluebird Sings to the Lemonade Springs,Wallace Stegner/T.H. Watkins,4.1,2002-04-09,eng,Wallace Stegner
10929,For One More Day,Mitch Albom,4.1,2006-09-26,eng,Mitch Albom
10985,The Town,William Faulkner,4.1,1961-02-12,eng,William Faulkner
11231,Existentialists and Mystics: Writings on Philosophy and Literature,Iris Murdoch/George Steiner/Peter J. Conradi,4.1,1999-07-01,eng,Iris Murdoch
12117,One  No One and One Hundred Thousand,Luigi Pirandello/William Weaver/Samuel Putnam,4.1,1992-09-01,eng,Luigi Pirandello
12461,Complete Plays 1913–1920,Eugene O'Neill/Travis Bogard,4.1,1988-10-01,eng,Eugene O'Neill
12847,The Art of Dreaming,Carlos Castañeda,4.1,2004-02-16,eng,Carlos Castañeda
13469,What You Think of Me Is None of My Business,Terry Cole-Whittaker,4.1,1988-04-01,en-US,Terry Cole-Whittaker
13505,Tuf Voyaging,George R.R. Martin,4.1,2004-11-10,en-US,George R.R. Martin
13590,Hikaru no Go  Vol. 1: Descent of the Go Master (Hikaru no Go  #1),Yumi Hotta/Takeshi Obata,4.1,2004-05-19,eng,Yumi Hotta
13821,Lord of Light,Roger Zelazny,4.1,2010-03-30,eng,Roger Zelazny
13930,Foxmask (Saga of the Light Isles  #2),Juliet Marillier,4.1,2005-03-18,eng,Juliet Marillier
13931,Foxmask (Saga of the Light Isles  #2),Juliet Marillier,4.1,2005-11-01,eng,Juliet Marillier
14283,Something I've Been Meaning to Tell You: 13 Stories,Alice Munro,4.1,2004-10-12,eng,Alice Munro
14456,Awakenings,Oliver Sacks,4.1,1999-10-05,eng,Oliver Sacks
15549,Armageddon's Children (Genesis of Shannara  #1),Terry Brooks,4.1,2006-09-30,eng,Terry Brooks
15667,Stranger in the Forest: On Foot Across Borneo,Eric Hansen,4.1,2000-11-14,eng,Eric Hansen
16291,The Magus of Freemasonry: The Mysterious Life of Elias Ashmole—Scientist  Alchemist  and Founder of the Royal Society,Tobias Churton,4.1,2006-06-27,eng,Tobias Churton
16369,Death on the Nile (Hercule Poirot  #17),Agatha Christie,4.1,2007-03-30,eng,Agatha Christie
16595,Vampire Hunter D Volume 06: Pilgrimage of the Sacred and the Profane,Hideyuki Kikuchi/Yoshitaka Amano,4.1,2006-11-22,en-US,Hideyuki Kikuchi
16627,Magic Carpet Ride: The Autobiography of John Kay and Steppenwolf,John     Kay/John Einarson,4.1,1994-10-01,eng,John     Kay
16842,A Single Man,Christopher Isherwood,4.1,2001-03-20,eng,Christopher Isherwood
17610,The Karma Of Brown Folk,Vijay Prashad,4.1,2001-03-12,eng,Vijay Prashad
17675,Eating Stone: Imagination and the Loss of the Wild,Ellen Meloy,4.1,2006-10-17,eng,Ellen Meloy
17766,Master and Commander (Aubrey/Maturin Book 1),Patrick O'Brian,4.1,2004-03-09,eng,Patrick O'Brian
19393,What Is Goth?,Aurelio Voltaire,4.1,2004-08-01,eng,Aurelio Voltaire
20181,Plot & Structure: Techniques and Exercises for Crafting a Plot That Grips Readers from Start to Finish,James Scott Bell,4.1,2004-10-06,eng,James Scott Bell
20891,A Friar's Bloodfeud (Knights Templar  #20),Michael Jecks,4.1,2006-06-05,eng,Michael Jecks
21321,Ultimate Spider-Man  Volume 7,Brian Michael Bendis/Mark Bagley,4.1,2006-10-04,eng,Brian Michael Bendis
21536,The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly/Dick Hill,4.1,2006-11-25,eng,Michael Connelly
21581,Chance (Spenser  #23),Robert B. Parker/Burt Reynolds,4.1,1996-04-01,en-US,Robert B. Parker
21779,The Season: A Candid Look at Broadway,William Goldman,4.1,2004-07-01,eng,William Goldman
21832,The League of Night and Fog (Mortalis  #3),David Morrell,4.1,2003-04-01,eng,David Morrell
22374,Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison/Dave McKean,4.1,2005-01-11,eng,Grant Morrison
22543,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,4.1,2007-01-17,eng,Neil deGrasse Tyson
23056,Image-Music-Text,Roland Barthes/Stephen Heath,4.1,1993-09-13,eng,Roland Barthes
23194,My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark,David James Duncan,4.1,2001-07-17,eng,David James Duncan
23689,Ranma 1/2  Vol. 35 (Ranma ½ (US 2nd)  #35),Rumiko Takahashi,4.1,2006-08-08,eng,Rumiko Takahashi
24546,Gilliam on Gilliam (Directors on Directors),Terry Gilliam/Ian Christie,4.1,1999-11-15,eng,Terry Gilliam
24800,House of Leaves,Mark Z. Danielewski,4.1,2000-03-07,eng,Mark Z. Danielewski
24873,Dragonflight (Pern: Dragonriders of Pern  #1),Anne McCaffrey/Dick Hill,4.1,2005-09-25,en-US,Anne McCaffrey
25431,Psychonavigation: Techniques for Travel Beyond Time,John Perkins,4.1,1999-09-01,eng,John Perkins
25816,Only the Ring Finger Knows,Satoru Kannagi/Hotaru Odagiri/Sachiko Sato,4.1,2004-08-01,eng,Satoru Kannagi
26075,A Random Walk Down Wall Street,Burton G. Malkiel,4.1,2003-04-17,en-US,Burton G. Malkiel
26079,A Random Walk Down Wall Street,Burton G. Malkiel/Christopher Flavin,4.1,1985-01-01,eng,Burton G. Malkiel
26214,Big Anthony and the Magic Ring,Tomie dePaola,4.1,1979-04-25,en-US,Tomie dePaola
26449,Bulfinch's Mythology,Thomas Bulfinch/Richard P. Martin,4.1,1991-12-24,eng,Thomas Bulfinch
26827,Park Profiles: Grand Canyon Country (Park Profiles),National Geographic Society,4.1,2010-01-19,eng,National Geographic Society
27001,The Well of Lost Plots (Thursday Next #3),Jasper Fforde,4.1,2004-08-03,eng,Jasper Fforde
27194,Pictures Showing What Happens on Each Page of Thomas Pynchon's Novel Gravity's Rainbow,Zak Smith/Steve Erickson,4.1,2006-11-30,en-GB,Zak Smith
27486,The Mating Mind: How Sexual Choice Shaped the Evolution of Human Nature,Geoffrey Miller,4.1,2001-04-17,eng,Geoffrey Miller
28067,Leaving the 20th Century: The Incomplete Work of the Situationist International,Chris Gray/Larry  Law,4.1,1998-04-20,eng,Chris Gray
28209,The Medusa Stone (Philip Mercer  #3),Jack Du Brul,4.1,2000-04-01,eng,Jack Du Brul
28568,The Vanished Man (Lincoln Rhyme  #5),Jeffery Deaver,4.1,2004-07-01,en-US,Jeffery Deaver
28769,Tales of Pirx the Pilot,Stanisław Lem/Louis Iribarne,4.1,1990-11-30,eng,Stanisław Lem
29044,The Secret History,Donna Tartt,4.1,2004-04-13,eng,Donna Tartt
29286,Burt Dow  Deep-Water Man,Robert McCloskey,4.1,1989-03-01,en-US,Robert McCloskey
29395,Sharpe's Fury (Sharpe  #11),Bernard Cornwell,4.1,2006-08-22,eng,Bernard Cornwell
29500,Demon Diary  Volume 04,Kara/Lee Yun-Hee,4.1,2003-11-04,eng,Kara
29838,The New York Times Guide to Essential Knowledge,John D. Leonard/The New York Times,4.1,2004-11-05,en-US,John D. Leonard
30186,Divine By Choice (Partholon  #2),P.C. Cast,4.1,2006-11-21,eng,P.C. Cast
31373,In Pursuit of the Proper Sinner (Inspector Lynley  #10),Elizabeth  George,4.1,,eng,Elizabeth  George
31823,A History of Philosophy 1: Greece and Rome,Frederick Charles Copleston,4.1,2003-06-01,en-GB,Frederick Charles Copleston
31860,Practical Philosophy,Immanuel Kant/Mary J. Gregor,4.1,1999-12-08,eng,Immanuel Kant
31923,Three Books of Occult Philosophy,Cornelius Agrippa/Donald Tyson,4.1,1992-01-08,eng,Cornelius Agrippa
32102,Venetia,Georgette Heyer,4.1,2006-10-24,eng,Georgette Heyer
32508,The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),Michael Connelly,4.1,2002-12-01,eng,Michael Connelly
33279,Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,Stewart Brand,4.1,2000-04-06,eng,Stewart Brand
33832,Night Falls Fast: Understanding Suicide,Kay Redfield Jamison,4.1,2000-10-10,eng,Kay Redfield Jamison
33936,Hen's Teeth and Horse's Toes: Further Reflections in Natural History,Stephen Jay Gould,4.1,1994-04-17,eng,Stephen Jay Gould
34898,My Father's Dragon (My Father's Dragon  #1),Ruth Stiles Gannett,4.1,2005-12-27,eng,Ruth Stiles Gannett
35258,Father of Frankenstein,Christopher Bram,4.1,1996-04-01,eng,Christopher Bram
35441,Star Wars: Clone Wars  Volume 8: The Last Siege  the Final Truth,John Ostrander/Jan Duursema/Dan Parsons,4.1,2006-04-11,eng,John Ostrander
35668,The Beatles,Hunter Davies,4.1,2006-04-17,en-US,Hunter Davies
36071,First Things First,Stephen R. Covey/A. Roger Merrill/Rebecca R. Merrill,4.1,1996-01-17,eng,Stephen R. Covey
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey/Jim Collins,4.1,2004-11-09,eng,Stephen R. Covey
37516,Spinoza: A Life,Steven Nadler,4.1,2001-04-23,eng,Steven Nadler
37741,Tales of a Fourth Grade Nothing (Fudge  #1),Judy Blume,4.1,2004-01-06,eng,Judy Blume
38069,Zora Neale Hurston: A Literary Biography,Robert E. Hemenway/Alice Walker,4.1,1980-09-01,eng,Robert E. Hemenway
39242,The Milagro Beanfield War,John     Nichols,4.1,2000-02-15,eng,John     Nichols
41695,Dark Watch (Oregon Files  #3),Clive Cussler/Jack Du Brul,4.1,2005-10-31,eng,Clive Cussler
42652,Red Road From Stalingrad: Recollections of a Soviet Infantryman,Mansur Abdulin/Artem Drabkin,4.1,2005-01-19,en-US,Mansur Abdulin
43255,Not Without My Daughter,Betty Mahmoody,4.1,2004-07-05,eng,Betty Mahmoody
43586,Lout Rampage!,Daniel Clowes,4.1,1992-11-01,eng,Daniel Clowes
43620,The Gunslinger,Mary McBride,4.1,1994-12-23,eng,Mary McBride
43930,Gone for Good,Harlan Coben,4.1,2003-03-04,eng,Harlan Coben
44521,Kiss Kiss,Roald Dahl,4.1,1987-10-26,eng,Roald Dahl
44644,Principle-Centered Leadership,Stephen R. Covey,4.1,1992-10-01,eng,Stephen R. Covey
44652,Fablehaven (Fablehaven  #1),Brandon Mull,4.1,2006-06-07,eng,Brandon Mull
1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09,2007-04-03,eng,Giada De Laurentiis
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,2006-09-26,eng,Tyler Florence
2103,The Nature of Space and Time,Stephen Hawking/Roger Penrose,4.09,2000-10-08,eng,Stephen Hawking
2802,E=mc²: A Biography of the World's Most Famous Equation,David Bodanis,4.09,2000-10-01,eng,David Bodanis
3156,Drina Dances in Madeira,Jean Estoril/Mabel Esther Allan,4.09,1991-02-06,eng,Jean Estoril
3530,Kare First Love  Vol. 10 (Kare First Love  #10),Kaho Miyasaka,4.09,2006-12-12,eng,Kaho Miyasaka
4599,Carter Beats the Devil,Glen David Gold,4.09,2002-09-18,eng,Glen David Gold
4887,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller/Ruth Ward,4.09,2008-07-22,eng,Alice   Miller
4888,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,4.09,1983-06-01,en-US,Alice   Miller
5527,All the King's Men,Robert Penn Warren,4.09,1996-09-01,eng,Robert Penn Warren
5598,Moral Luck: Philosophical Papers 1973-1980,Bernard Williams,4.09,1981-03-12,eng,Bernard Williams
5720,Rainbow Six (John Clark  #2; Jack Ryan Universe  #10),Tom Clancy/David Dukes,4.09,1999-09-01,eng,Tom Clancy
6106,A Short History of Byzantium,John Julius Norwich,4.09,1998-12-29,eng,John Julius Norwich
6259,Birdsong,Sebastian Faulks,4.09,1997-06-02,eng,Sebastian Faulks
6690,Danny the Champion of the World,Roald Dahl/Quentin Blake,4.09,2002-02-12,eng,Roald Dahl
7199,The Way the Crow Flies,Ann-Marie MacDonald,4.09,2004-08-31,en-US,Ann-Marie MacDonald
7341,The Gospel According to Tolkien: Visions of the Kingdom in Middle-Earth,Ralph C. Wood,4.09,2003-10-31,eng,Ralph C. Wood
7432,Pardonable Lies (Maisie Dobbs  #3),Jacqueline Winspear,4.09,2006-06-27,eng,Jacqueline Winspear
7556,Quimby The Mouse,Chris Ware,4.09,2003-11-20,en-US,Chris Ware
7946,Eddie's Valuable Property,Carolyn Haywood,4.09,1975-03-01,eng,Carolyn Haywood
8204,The Laura Ingalls Wilder Country Cookbook,Laura Ingalls Wilder/William   Anderson,4.09,1997-10-01,eng,Laura Ingalls Wilder
8583,Come to Grief / Decider / Wild Horses,Dick Francis,4.09,1997-11-10,eng,Dick Francis
8698,So Long  and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,4.09,2002-03-08,eng,Douglas Adams
8862,A Year in the Life of William Shakespeare: 1599,James Shapiro,4.09,2006-06-13,eng,James Shapiro
9550,In Praise of Shadows,Jun'ichirō Tanizaki/Thomas J. Harper/Edward G. Seidensticker,4.09,2001-05-03,eng,Jun'ichirō Tanizaki
9623,Dandelion Wine,Ray Bradbury,4.09,1999-02-01,en-US,Ray Bradbury
9787,Men Who Hate Women and the Women Who Love Them: When Loving Hurts and You Don't Know Why,Susan Forward/Joan Torres,4.09,2002-01-02,eng,Susan Forward
9897,Jesus' Son,Denis Johnson,4.09,2007-01-23,eng,Denis Johnson
10233,Infections and Inequalities: The Modern Plagues,Paul Farmer,4.09,2001-02-23,eng,Paul Farmer
10805,All the Little Live Things,Wallace Stegner,4.09,1991-12-01,eng,Wallace Stegner
10982,Selected Short Stories,William Faulkner,4.09,1993-05-18,eng,William Faulkner
11919,Haunted (Women of the Otherworld  #5),Kelley Armstrong,4.09,2005-05-31,eng,Kelley Armstrong
11996,I Who Have Never Known Men,Jacqueline Harpman/Ros Schwartz,4.09,1998-07-01,eng,Jacqueline Harpman
12123,Sierra's Homecoming (McKettricks  #5),Linda Lael Miller,4.09,2006-11-21,eng,Linda Lael Miller
12263,The Gray-Eyed Goddess (Tales from the Odyssey  #4),Mary Pope Osborne/Troy Howell/Homer,4.09,2003-09-30,en-US,Mary Pope Osborne
12812,Chickenhawk: Back in the World Again: Life After Vietnam,Robert Mason,4.09,1994-05-01,eng,Robert Mason
13630,Museum of Terror  Vol. 1: Tomie 1,Junji Ito/伊藤潤二/Naomi Kokubo,4.09,2006-08-08,eng,Junji Ito
13662,The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin/Margot Paronis,4.09,2001-09-01,eng,Ursula K. Le Guin
13664,Catwings (Catwings #1),Ursula K. Le Guin/S.D. Schindler,4.09,2003-05-01,eng,Ursula K. Le Guin
13847,Essence and Alchemy: A Natural History of Perfume,Mandy Aftel,4.09,2007-01-31,eng,Mandy Aftel
13923,Blade of Fortriu (The Bridei Chronicles  #2),Juliet Marillier,4.09,2006-10-31,eng,Juliet Marillier
13929,Wildwood Dancing (Wildwood  #1),Juliet Marillier,4.09,2007-01-23,eng,Juliet Marillier
14016,Difficult Conversations: How to Discuss What Matters Most,Bruce Patton/Douglas Stone/Sheila Heen,4.09,2000-05-25,en-US,Bruce Patton
14184,The Shifting Realities of Philip K. Dick,Philip K. Dick/Lawrence Sutin,4.09,1996-01-30,en-US,Philip K. Dick
14462,Not Since Carrie: Forty Years of Broadway Musical Flops,Ken Mandelbaum,4.09,1992-08-15,eng,Ken Mandelbaum
